"","year","discipline","total.awarded.Female","total.awarded.Male","total.awarded.Unknown Gender","female.ratio"
"138",1967,"Non-Science Education",124668,58776,NA,0.679597043239354
"139",1967,"Business and Management",24893,94984,NA,0.207654512542022
"140",1967,"Communication and Librarianship",5761,3636,NA,0.613068000425668
"141",1967,"Law",649,15535,NA,0.0401013346515077
"142",1967,"Social Service Professions",4015,2150,NA,0.651257096512571
"143",1967,"Vocational Studies and Home Economics",7790,1659,NA,0.824425865170918
"144",1967,"Other Non-sciences or Unknown Disciplines",60978,78668,NA,0.436661272073672
"193",1968,"Aerospace Engineering",19,3056,NA,0.00617886178861789
"194",1968,"Chemical Engineering",47,4980,NA,0.00934951263178834
"195",1968,"Civil Engineering",48,8599,NA,0.00555105817046374
"196",1968,"Electrical Engineering",65,15609,NA,0.00414699502360597
"197",1968,"Mechanical Engineering",39,10422,NA,0.0037281330656725
"198",1968,"Materials Engineering",22,1531,NA,0.0141661300708307
"199",1968,"Industrial Engineering",26,4292,NA,0.00602130616025938
"200",1968,"Other Engineering",61,7048,NA,0.00858067238711492
"201",1968,"Astronomy",43,239,NA,0.152482269503546
"202",1968,"Chemistry",2525,12093,NA,0.172732247913531
"203",1968,"Physics",417,7976,NA,0.049684260693435
"204",1968,"Other Physical Sciences",193,1179,NA,0.14067055393586
"205",1968,"Atmospheric Sciences",8,371,NA,0.0211081794195251
"206",1968,"Earth Sciences",294,2852,NA,0.0934520025429116
"207",1968,"Oceanography",12,211,NA,0.0538116591928251
"208",1968,"Mathematics and Statistics",10169,19936,NA,0.337784421192493
"209",1968,"Computer Science",216,1330,NA,0.139715394566624
"210",1968,"Agricultural Sciences",338,9532,NA,0.0342451874366768
"211",1968,"Biological Sciences",10710,26303,NA,0.289357793207792
"212",1968,"Medical Sciences",1932,18152,NA,0.0961959768970325
"213",1968,"Other Life Sciences",21167,4110,NA,0.837401590378605
"214",1968,"Psychology",11417,16976,NA,0.402106152925017
"215",1968,"Economics",1887,17430,NA,0.0976859760832427
"216",1968,"Political Science and Public Administration",5490,21085,NA,0.206585136406397
"217",1968,"Sociology",13956,9666,NA,0.590805181610363
"218",1968,"Anthropology",1475,1398,NA,0.513400626522798
"219",1968,"Linguistics",233,330,NA,0.413854351687389
"220",1968,"Area and Ethnic Studies",1051,1422,NA,0.424989890820865
"221",1968,"Other Social Sciences",9214,14426,NA,0.389763113367174
"222",1968,"Science Technologies",103,1487,NA,0.0647798742138365
"223",1968,"Engineering Technologies",254,25002,NA,0.0100570161545771
"224",1968,"Health Technologies",9611,799,NA,0.923246878001921
"225",1968,"Interdisciplinary or Other Sciences",14098,26073,NA,0.35094969007493
"226",1968,"History",13940,27010,NA,0.34041514041514
"227",1968,"English and Literature",37153,19922,NA,0.650950503723171
"228",1968,"Foreign Languages",16966,7565,NA,0.691614691614692
"229",1968,"Other Humanities",2146,7130,NA,0.23134971970677
"230",1968,"Religion and Theology",350,5864,NA,0.056324428709366
"231",1968,"Arts and Music",19770,16309,NA,0.547964189694836
"232",1968,"Architecture and Environmental Design",213,4103,NA,0.0493512511584801
"233",1968,"Other Science/Technical Education",455,7122,NA,0.0600501517751089
"234",1968,"Non-Science Education",138845,61698,NA,0.692345282557855
"235",1968,"Business and Management",27873,109691,NA,0.202618417609258
"236",1968,"Communication and Librarianship",6925,4308,NA,0.616487136116799
"237",1968,"Law",742,17187,NA,0.0413854648892855
"238",1968,"Social Service Professions",4780,2597,NA,0.647959875288057
"239",1968,"Vocational Studies and Home Economics",8957,2063,NA,0.812794918330308
"240",1968,"Other Non-sciences or Unknown Disciplines",63937,81461,NA,0.439737823078722
"289",1969,"Aerospace Engineering",26,3641,NA,0.00709026452140714
"290",1969,"Chemical Engineering",67,5354,NA,0.0123593432945951
"291",1969,"Civil Engineering",68,9055,NA,0.00745368847966678
"292",1969,"Electrical Engineering",92,16498,NA,0.0055455093429777
"293",1969,"Mechanical Engineering",44,11194,NA,0.00391528741768998
"294",1969,"Materials Engineering",17,1628,NA,0.0103343465045593
"295",1969,"Industrial Engineering",24,4544,NA,0.00525394045534151
"296",1969,"Other Engineering",99,7872,NA,0.0124200225818592
"297",1969,"Astronomy",22,285,NA,0.0716612377850163
"298",1969,"Chemistry",2682,13136,NA,0.169553673030724
"299",1969,"Physics",474,8616,NA,0.0521452145214521
"300",1969,"Other Physical Sciences",247,1302,NA,0.159457714654616
"301",1969,"Atmospheric Sciences",18,396,NA,0.0434782608695652
"302",1969,"Earth Sciences",369,3425,NA,0.0972588297311544
"303",1969,"Oceanography",14,265,NA,0.0501792114695341
"304",1969,"Mathematics and Statistics",11788,22362,NA,0.345183016105417
"305",1969,"Computer Science",571,2720,NA,0.173503494378608
"306",1969,"Agricultural Sciences",474,11145,NA,0.0407952491608572
"307",1969,"Biological Sciences",11863,29341,NA,0.287908940879526
"308",1969,"Medical Sciences",1993,18515,NA,0.0971815876731032
"309",1969,"Other Life Sciences",24958,4471,NA,0.848075028033572
"310",1969,"Psychology",14199,20505,NA,0.4091459197787
"311",1969,"Economics",2113,19154,NA,0.099355809470071
"312",1969,"Political Science and Public Administration",6103,24213,NA,0.201312838105291
"313",1969,"Sociology",16830,11811,NA,0.587619147376139
"314",1969,"Anthropology",1944,1733,NA,0.528691868370955
"315",1969,"Linguistics",296,329,NA,0.4736
"316",1969,"Area and Ethnic Studies",1299,1656,NA,0.439593908629442
"317",1969,"Other Social Sciences",11147,16849,NA,0.398164023431919
"318",1969,"Science Technologies",110,1686,NA,0.0612472160356347
"319",1969,"Engineering Technologies",286,30126,NA,0.00940418255951598
"320",1969,"Health Technologies",12312,1096,NA,0.918257756563246
"321",1969,"Interdisciplinary or Other Sciences",15843,30264,NA,0.343613767974494
"322",1969,"History",16223,30958,NA,0.343846039719379
"323",1969,"English and Literature",42104,21983,NA,0.656981915209013
"324",1969,"Foreign Languages",18951,8208,NA,0.697779741522147
"325",1969,"Other Humanities",2407,7764,NA,0.236653229770917
"326",1969,"Religion and Theology",399,6221,NA,0.0602719033232628
"327",1969,"Arts and Music",23973,19302,NA,0.553968804159445
"328",1969,"Architecture and Environmental Design",279,4392,NA,0.0597302504816956
"329",1969,"Other Science/Technical Education",571,7902,NA,0.0673905346394429
"330",1969,"Non-Science Education",158198,68148,NA,0.698921120762019
"331",1969,"Business and Management",32590,128125,NA,0.202781320971907
"332",1969,"Communication and Librarianship",8288,4799,NA,0.633300221593948
"333",1969,"Law",799,17772,NA,0.0430240697862258
"334",1969,"Social Service Professions",5783,2795,NA,0.674166472371182
"335",1969,"Vocational Studies and Home Economics",10883,3070,NA,0.77997563248047
"336",1969,"Other Non-sciences or Unknown Disciplines",71709,94891,NA,0.430426170468187
"385",1970,"Aerospace Engineering",25,3691,NA,0.00672766415500538
"386",1970,"Chemical Engineering",80,5497,NA,0.0143446297292451
"387",1970,"Civil Engineering",86,9670,NA,0.00881508815088151
"388",1970,"Electrical Engineering",100,17208,NA,0.00577767506355443
"389",1970,"Mechanical Engineering",51,11992,NA,0.00423482520966537
"390",1970,"Materials Engineering",18,1660,NA,0.0107270560190703
"391",1970,"Industrial Engineering",41,5047,NA,0.00805817610062893
"392",1970,"Other Engineering",128,8761,NA,0.01439982000225
"393",1970,"Astronomy",35,280,NA,0.111111111111111
"394",1970,"Chemistry",2765,13206,NA,0.173126291403168
"395",1970,"Physics",524,8453,NA,0.0583713935613234
"396",1970,"Other Physical Sciences",244,1281,NA,0.16
"397",1970,"Atmospheric Sciences",5,405,NA,0.0121951219512195
"398",1970,"Earth Sciences",457,3747,NA,0.108705994291151
"399",1970,"Oceanography",22,309,NA,0.0664652567975831
"400",1970,"Mathematics and Statistics",12087,22362,NA,0.350866498301838
"401",1970,"Computer Science",861,3876,NA,0.181760607979734
"402",1970,"Agricultural Sciences",606,12140,NA,0.0475443276321983
"403",1970,"Biological Sciences",12555,30872,NA,0.289105855803993
"404",1970,"Medical Sciences",2348,19445,NA,0.107741017757996
"405",1970,"Other Life Sciences",29271,4987,NA,0.854428162764902
"406",1970,"Psychology",16552,22814,NA,0.420464360107707
"407",1970,"Economics",2206,19490,NA,0.101677728613569
"408",1970,"Political Science and Public Administration",6324,25987,NA,0.19572281885426
"409",1970,"Sociology",19184,14014,NA,0.577866136514248
"410",1970,"Anthropology",2403,2187,NA,0.523529411764706
"411",1970,"Linguistics",335,332,NA,0.502248875562219
"412",1970,"Area and Ethnic Studies",1453,1585,NA,0.478275181040158
"413",1970,"Other Social Sciences",12362,19110,NA,0.39279359430605
"414",1970,"Science Technologies",125,2096,NA,0.0562809545249887
"415",1970,"Engineering Technologies",295,33167,NA,0.00881597035443189
"416",1970,"Health Technologies",14407,1193,NA,0.923525641025641
"417",1970,"Interdisciplinary or Other Sciences",18292,32369,NA,0.361066698249146
"418",1970,"History",16858,32825,NA,0.339311233218606
"419",1970,"English and Literature",43409,22845,NA,0.655190629999698
"420",1970,"Foreign Languages",19089,7880,NA,0.707812673810671
"421",1970,"Other Humanities",2383,7821,NA,0.233535868286946
"422",1970,"Religion and Theology",464,7213,NA,0.0604402761495376
"423",1970,"Arts and Music",26545,22232,NA,0.544211411115895
"424",1970,"Architecture and Environmental Design",397,5197,NA,0.0709688952449053
"425",1970,"Other Science/Technical Education",829,9298,NA,0.081860373259603
"426",1970,"Non-Science Education",172914,75059,NA,0.697309787759151
"427",1970,"Business and Management",35037,144709,NA,0.194925060919297
"428",1970,"Communication and Librarianship",9445,5344,NA,0.638650348231794
"429",1970,"Law",919,15715,NA,0.055248286641818
"430",1970,"Social Service Professions",6800,3167,NA,0.68225142971807
"431",1970,"Vocational Studies and Home Economics",12306,4337,NA,0.739409962146248
"432",1970,"Other Non-sciences or Unknown Disciplines",81690,106040,NA,0.43514622063602
"481",1971,"Aerospace Engineering",26,3351,NA,0.00769914124962985
"482",1971,"Chemical Engineering",93,5437,NA,0.0168173598553345
"483",1971,"Civil Engineering",107,10030,NA,0.0105553911413633
"484",1971,"Electrical Engineering",109,17340,NA,0.00624677631955986
"485",1971,"Mechanical Engineering",51,12214,NA,0.00415817366490012
"486",1971,"Materials Engineering",23,1654,NA,0.0137149672033393
"487",1971,"Industrial Engineering",46,5224,NA,0.00872865275142315
"488",1971,"Other Engineering",115,9462,NA,0.0120079356792315
"489",1971,"Astronomy",31,313,NA,0.0901162790697674
"490",1971,"Chemistry",2760,12867,NA,0.176617392973699
"491",1971,"Physics",538,8214,NA,0.0614716636197441
"492",1971,"Other Physical Sciences",269,1963,NA,0.120519713261649
"493",1971,"Atmospheric Sciences",8,455,NA,0.0172786177105832
"494",1971,"Earth Sciences",486,3877,NA,0.111391244556498
"495",1971,"Oceanography",20,412,NA,0.0462962962962963
"496",1971,"Mathematics and Statistics",11111,20207,NA,0.354779998722779
"497",1971,"Computer Science",491,3613,NA,0.119639376218324
"498",1971,"Agricultural Sciences",593,12825,NA,0.0441943657773141
"499",1971,"Biological Sciences",13109,32325,NA,0.288528414843509
"500",1971,"Medical Sciences",2602,20170,NA,0.114263130159845
"501",1971,"Other Life Sciences",31684,2782,NA,0.919282771426914
"502",1971,"Psychology",19115,25259,NA,0.430770270879344
"503",1971,"Economics",2255,18230,NA,0.110080546741518
"504",1971,"Political Science and Public Administration",7438,28494,NA,0.207002115106312
"505",1971,"Sociology",20762,15302,NA,0.575698757763975
"506",1971,"Anthropology",2893,2609,NA,0.525808796801163
"507",1971,"Linguistics",387,369,NA,0.511904761904762
"508",1971,"Area and Ethnic Studies",1786,1992,NA,0.472736897829539
"509",1971,"Other Social Sciences",13029,19687,NA,0.398245506785671
"510",1971,"Science Technologies",402,1791,NA,0.183310533515732
"511",1971,"Engineering Technologies",1067,39061,NA,0.0265899122807018
"512",1971,"Health Technologies",21200,2843,NA,0.881753524934492
"513",1971,"Other Science and Engineering Technologies",86,238,NA,0.265432098765432
"514",1971,"Interdisciplinary or Other Sciences",829,4185,NA,0.165337056242521
"515",1971,"History",17562,33529,NA,0.343739601886829
"516",1971,"English and Literature",49089,27353,NA,0.642173150885639
"517",1971,"Foreign Languages",18948,7595,NA,0.713860528199525
"518",1971,"Other Humanities",1351,5435,NA,0.199086354258768
"519",1971,"Religion and Theology",2229,10987,NA,0.168659200968523
"520",1971,"Arts and Music",23197,17775,NA,0.566167138533633
"521",1971,"Architecture and Environmental Design",913,6425,NA,0.124420823112565
"522",1971,"Science Education",770,1095,NA,0.412868632707775
"523",1971,"Mathematics Education",1507,1541,NA,0.494422572178478
"524",1971,"Other Science/Technical Education",1081,9778,NA,0.099548761396077
"525",1971,"Non-Science Education",184890,79096,NA,0.700378050351155
"526",1971,"Business and Management",39721,161480,NA,0.197419495926959
"527",1971,"Communication and Librarianship",11392,9398,NA,0.547955747955748
"528",1971,"Law",1366,17806,NA,0.0712497392030044
"529",1971,"Social Service Professions",8223,4541,NA,0.644233782513319
"530",1971,"Vocational Studies and Home Economics",14086,10174,NA,0.580626545754328
"531",1971,"Other Non-sciences or Unknown Disciplines",71772,103444,NA,0.409620126015889
"583",1972,"Aerospace Engineering",27,3037,NA,0.00881201044386423
"584",1972,"Chemical Engineering",110,5530,NA,0.0195035460992908
"585",1972,"Civil Engineering",129,10454,NA,0.0121893602948124
"586",1972,"Electrical Engineering",137,17077,NA,0.00795863831764843
"587",1972,"Mechanical Engineering",77,11817,NA,0.00647385236253573
"588",1972,"Materials Engineering",30,1666,NA,0.017688679245283
"589",1972,"Industrial Engineering",65,5547,NA,0.0115823235923022
"590",1972,"Other Engineering",210,10239,NA,0.0200976169968418
"591",1972,"Astronomy",43,392,NA,0.0988505747126437
"592",1972,"Chemistry",2818,12133,NA,0.188482375760819
"593",1972,"Physics",525,7499,NA,0.0654287138584247
"594",1972,"Other Physical Sciences",254,1588,NA,0.137893593919653
"595",1972,"Atmospheric Sciences",21,511,NA,0.0394736842105263
"596",1972,"Earth Sciences",621,4218,NA,0.128332300061996
"597",1972,"Oceanography",27,573,NA,0.045
"598",1972,"Mathematics and Statistics",10964,19221,NA,0.363226768262382
"599",1972,"Computer Science",698,4848,NA,0.12585647313379
"600",1972,"Agricultural Sciences",835,14129,NA,0.055800588078054
"601",1972,"Biological Sciences",13796,33622,NA,0.290944367117972
"602",1972,"Medical Sciences",2964,21136,NA,0.12298755186722
"603",1972,"Other Life Sciences",37673,4348,NA,0.896527926512934
"604",1972,"Psychology",22654,27941,NA,0.447751754125902
"605",1972,"Economics",2190,17814,NA,0.109478104379124
"606",1972,"Political Science and Public Administration",7840,30802,NA,0.202888049272812
"607",1972,"Sociology",21203,17059,NA,0.554152945481156
"608",1972,"Anthropology",3266,3005,NA,0.520810078137458
"609",1972,"Linguistics",419,389,NA,0.518564356435644
"610",1972,"Area and Ethnic Studies",2018,2212,NA,0.477068557919622
"611",1972,"Other Social Sciences",13313,20695,NA,0.39146671371442
"612",1972,"Science Technologies",587,2017,NA,0.22542242703533
"613",1972,"Engineering Technologies",1453,46565,NA,0.0302594860260736
"614",1972,"Health Technologies",27280,4214,NA,0.8661967358862
"615",1972,"Other Science and Engineering Technologies",80,329,NA,0.19559902200489
"616",1972,"Interdisciplinary or Other Sciences",967,3728,NA,0.205963791267306
"617",1972,"History",17021,33318,NA,0.338127495579968
"618",1972,"English and Literature",48347,27856,NA,0.634450087266906
"619",1972,"Foreign Languages",18150,7361,NA,0.711457802516561
"620",1972,"Other Humanities",1467,5468,NA,0.21153568853641
"621",1972,"Religion and Theology",2452,12140,NA,0.168037280701754
"622",1972,"Arts and Music",26132,20022,NA,0.566191446028513
"623",1972,"Architecture and Environmental Design",1063,7367,NA,0.126097271648873
"624",1972,"Science Education",821,1097,NA,0.428050052137643
"625",1972,"Mathematics Education",1640,1600,NA,0.506172839506173
"626",1972,"Other Science/Technical Education",1084,10996,NA,0.0897350993377483
"627",1972,"Non-Science Education",202683,85641,NA,0.702969575893786
"628",1972,"Business and Management",46105,175356,NA,0.20818563990951
"629",1972,"Communication and Librarianship",12328,10739,NA,0.534443143885204
"630",1972,"Law",1633,21859,NA,0.0695130257108803
"631",1972,"Social Service Professions",10316,5380,NA,0.6572375127421
"632",1972,"Vocational Studies and Home Economics",15956,13611,NA,0.53965569723002
"633",1972,"Other Non-sciences or Unknown Disciplines",78646,114039,NA,0.408158393232478
"685",1973,"Aerospace Engineering",21,2451,NA,0.00849514563106796
"686",1973,"Chemical Engineering",118,5404,NA,0.0213690691778341
"687",1973,"Civil Engineering",161,11485,NA,0.0138244890949682
"688",1973,"Electrical Engineering",216,16851,NA,0.0126560028124451
"689",1973,"Mechanical Engineering",90,11598,NA,0.00770020533880903
"690",1973,"Materials Engineering",35,1711,NA,0.0200458190148912
"691",1973,"Industrial Engineering",63,5170,NA,0.0120389833747372
"692",1973,"Other Engineering",204,11237,NA,0.0178306092124814
"693",1973,"Astronomy",45,287,NA,0.135542168674699
"694",1973,"Chemistry",2618,11720,NA,0.182591714325568
"695",1973,"Physics",477,6884,NA,0.0648009781279717
"696",1973,"Other Physical Sciences",367,2312,NA,0.13699141470698
"697",1973,"Atmospheric Sciences",19,448,NA,0.0406852248394004
"698",1973,"Earth Sciences",674,4640,NA,0.126834776063229
"699",1973,"Oceanography",40,495,NA,0.0747663551401869
"700",1973,"Mathematics and Statistics",10952,18372,NA,0.373482471695539
"701",1973,"Computer Science",880,5734,NA,0.133051103719383
"702",1973,"Agricultural Sciences",1226,15890,NA,0.0716288852535639
"703",1973,"Biological Sciences",15459,37144,NA,0.293880577153394
"704",1973,"Medical Sciences",3430,22416,NA,0.132709123268591
"705",1973,"Other Life Sciences",46649,6012,NA,0.885835817777862
"706",1973,"Psychology",25958,30109,NA,0.462981789644532
"707",1973,"Economics",2437,17108,NA,0.124686620619084
"708",1973,"Political Science and Public Administration",9682,34419,NA,0.219541506995306
"709",1973,"Sociology",21186,17346,NA,0.549828713796325
"710",1973,"Anthropology",3610,3327,NA,0.520397866512902
"711",1973,"Linguistics",569,503,NA,0.530783582089552
"712",1973,"Area and Ethnic Studies",2290,2456,NA,0.482511588706279
"713",1973,"Other Social Sciences",12449,20175,NA,0.381590240313879
"714",1973,"Science Technologies",847,3076,NA,0.215906194239103
"715",1973,"Engineering Technologies",1751,48676,NA,0.0347234616376148
"716",1973,"Health Technologies",34454,5893,NA,0.853942052692889
"717",1973,"Other Science and Engineering Technologies",174,535,NA,0.245416078984485
"718",1973,"Interdisciplinary or Other Sciences",797,3429,NA,0.188594415522953
"719",1973,"History",15856,31551,NA,0.334465374311811
"720",1973,"English and Literature",45696,27270,NA,0.626264287476359
"721",1973,"Foreign Languages",18227,7159,NA,0.717994170014969
"722",1973,"Other Humanities",1544,5428,NA,0.221457257601836
"723",1973,"Religion and Theology",2440,12198,NA,0.166689438447875
"724",1973,"Arts and Music",27604,20876,NA,0.569389438943894
"725",1973,"Architecture and Environmental Design",1291,8066,NA,0.13797157208507
"726",1973,"Science Education",865,1314,NA,0.396971087654888
"727",1973,"Mathematics Education",1688,1586,NA,0.515577275503971
"728",1973,"Other Science/Technical Education",1442,11581,NA,0.11072717499808
"729",1973,"Non-Science Education",209498,89008,NA,0.701821738926521
"730",1973,"Business and Management",52172,181183,NA,0.223573525315506
"731",1973,"Communication and Librarianship",13734,12344,NA,0.526650816780428
"732",1973,"Law",2345,26721,NA,0.0806784559278882
"733",1973,"Social Service Professions",12392,6246,NA,0.664878205816075
"734",1973,"Vocational Studies and Home Economics",18259,18924,NA,0.491057741440981
"735",1973,"Other Non-sciences or Unknown Disciplines",85190,118266,5252,0.418714611513054
"788",1974,"Aerospace Engineering",30,1910,NA,0.0154639175257732
"789",1974,"Chemical Engineering",162,5200,NA,0.0302126072361059
"790",1974,"Civil Engineering",235,12075,NA,0.0190901705930138
"791",1974,"Electrical Engineering",180,15443,NA,0.0115214747487678
"792",1974,"Mechanical Engineering",100,10383,NA,0.00953925403033483
"793",1974,"Materials Engineering",48,1540,NA,0.0302267002518892
"794",1974,"Industrial Engineering",91,4710,NA,0.0189543845032285
"795",1974,"Other Engineering",254,9414,NA,0.026272238311957
"796",1974,"Astronomy",53,298,NA,0.150997150997151
"797",1974,"Chemistry",2759,11732,NA,0.190394037678559
"798",1974,"Physics",520,6219,NA,0.0771627837958154
"799",1974,"Other Physical Sciences",358,2040,NA,0.14929107589658
"800",1974,"Atmospheric Sciences",24,519,NA,0.0441988950276243
"801",1974,"Earth Sciences",931,4992,NA,0.157183859530643
"802",1974,"Oceanography",30,476,NA,0.0592885375494071
"803",1974,"Mathematics and Statistics",10539,17145,NA,0.380689206762029
"804",1974,"Computer Science",1082,6149,NA,0.149633522334394
"805",1974,"Agricultural Sciences",1723,16661,NA,0.0937228024369016
"806",1974,"Biological Sciences",18092,40785,NA,0.307284678227491
"807",1974,"Medical Sciences",4262,24464,NA,0.148367332729931
"808",1974,"Other Life Sciences",57352,7232,NA,0.888021801065279
"809",1974,"Psychology",29728,31483,NA,0.48566434137655
"810",1974,"Economics",2563,16546,NA,0.134125281281072
"811",1974,"Political Science and Public Administration",8384,34037,NA,0.197637962329978
"812",1974,"Sociology",21660,17132,NA,0.558362548979171
"813",1974,"Anthropology",3902,3462,NA,0.529875067897882
"814",1974,"Linguistics",624,407,NA,0.605237633365664
"815",1974,"Area and Ethnic Studies",2523,2542,NA,0.49812438302073
"816",1974,"Other Social Sciences",11604,18799,NA,0.3816728612308
"817",1974,"Science Technologies",561,1826,NA,0.235023041474654
"818",1974,"Engineering Technologies",2389,54338,NA,0.0421139845223615
"819",1974,"Health Technologies",39869,7904,NA,0.83455089695016
"820",1974,"Other Science and Engineering Technologies",239,440,NA,0.351988217967599
"821",1974,"Interdisciplinary or Other Sciences",1077,4549,NA,0.191432634198365
"822",1974,"History",14236,28802,NA,0.330777452483851
"823",1974,"English and Literature",40888,25144,NA,0.619214926096438
"824",1974,"Foreign Languages",18238,6935,NA,0.72450641560402
"825",1974,"Other Humanities",1603,5283,NA,0.232791170490851
"826",1974,"Religion and Theology",2949,12285,NA,0.193580149665223
"827",1974,"Arts and Music",30888,22980,NA,0.573401648474048
