"date","year","fips","transactions","transponders","emp","bldgs","wti_eia"
2013-05-01,2013,24003,1197303,771951,253545,136,94.5095454545455
2013-05-01,2013,24005,4948381,3562219,362674,97,94.5095454545455
2013-06-01,2013,24005,3807915,2632396,364692,59,95.7725
2013-06-01,2013,24031,1543978,NA,457986,117,95.7725
2013-06-01,2013,24003,1249922,760970,255887,314,95.7725
2013-06-01,2013,24510,3048444,2141896,333341,17,95.7725
2013-06-01,2013,24017,309007,149549,41167,66,95.7725
2013-06-01,2013,24015,1772206,1238861,30763,16,95.7725
2013-07-01,2013,24031,1542795,NA,445064,161,104.670909090909
2013-07-01,2013,24510,3060179,2181443,326650,18,104.670909090909
2013-07-01,2013,24003,1308652,795346,253128,158,104.670909090909
2013-07-01,2013,24017,323430,158572,40446,70,104.670909090909
2013-07-01,2013,24015,1852693,1287608,30498,15,104.670909090909
2013-07-01,2013,24005,3862163,269074,354889,46,104.670909090909
2013-08-01,2013,24031,1625313,NA,455600,139,106.572727272727
2013-08-01,2013,24510,3211446,2299923,324688,18,106.572727272727
2013-08-01,2013,24003,1344727,830895,253920,137,106.572727272727
2013-08-01,2013,24017,336417,168029,40499,62,106.572727272727
2013-08-01,2013,24015,1937476,1366815,30715,19,106.572727272727
2013-08-01,2013,24005,4011477,2818171,353790,75,106.572727272727
2013-09-01,2013,24005,3499359,2524281,362498,59,106.2895
2013-09-01,2013,24510,2947968,2146567,331925,16,106.2895
2013-09-01,2013,24003,1103080,711331,253954,143,106.2895
2013-09-01,2013,24031,1600861,NA,454240,103,106.2895
2013-09-01,2013,24015,1571724,1155876,30629,17,106.2895
2013-09-01,2013,24017,262464,139837,40779,60,106.2895
2013-10-01,2013,24031,1699377,NA,452523,135,100.538260869565
2013-10-01,2013,24005,3602509,2655266,365142,67,100.538260869565
2013-10-01,2013,24003,1048584,717609,254053,143,100.538260869565
2013-10-01,2013,24510,3132146,2291291,333861,17,100.538260869565
2013-10-01,2013,24017,270730,150416,41246,62,100.538260869565
2013-10-01,2013,24015,1584902,1189124,30706,23,100.538260869565
2013-11-01,2013,24003,985537,672363,255216,97,93.864
2013-11-01,2013,24005,3446191,2500673,368980,62,93.864
2013-11-01,2013,24017,262452,138580,41715,43,93.864
2013-11-01,2013,24031,1588801,NA,454448,129,93.864
2013-11-01,2013,24510,1039716,2114535,334509,14,93.864
2013-11-01,2013,24015,1595097,1182554,30658,10,93.864
2013-12-01,2013,24510,2836759,2059993,333181,13,97.6252380952381
2013-12-01,2013,24031,1565207,NA,455400,97,97.6252380952381
2013-12-01,2013,24005,3423746,2462822,367942,70,97.6252380952381
2013-12-01,2013,24003,940674,641403,255207,82,97.6252380952381
2013-12-01,2013,24015,1600834,1167491,30424,10,97.6252380952381
2013-12-01,2013,24017,261825,138613,41741,41,97.6252380952381
2014-01-01,2014,24031,1549102,NA,448169,114,94.6171428571429
2014-01-01,2014,24015,1306021,993664,29537,11,94.6171428571429
2014-01-01,2014,24510,2648673,1992980,322662,15,94.6171428571429
2014-01-01,2014,24017,208796,123078,40455,49,94.6171428571429
2014-01-01,2014,24003,815383,583616,247721,175,94.6171428571429
2014-01-01,2014,24005,3114756,2324741,356905,30,94.6171428571429
2014-02-01,2014,24017,193711,114401,40302,65,100.817368421053
2014-02-01,2014,24031,1372222,NA,447081,73,100.817368421053
2014-02-01,2014,24005,2844410,2111397,357657,30,100.817368421053
2014-02-01,2014,24510,2454221,1831380,323795,15,100.817368421053
2014-02-01,2014,24003,757631,540651,247667,71,100.817368421053
2014-02-01,2014,24015,1192209,912970,29694,7,100.817368421053
2014-03-01,2014,24005,3399365,2476349,361288,54,100.80380952381
2014-03-01,2014,24003,901584,626969,250014,165,100.80380952381
2014-03-01,2014,24017,234653,132086,40571,70,100.80380952381
2014-03-01,2014,24015,1525655,1138122,30109,11,100.80380952381
2014-03-01,2014,24510,2877660,2104923,326308,18,100.80380952381
2014-03-01,2014,24031,1515353,NA,450359,117,100.80380952381
2014-04-01,2014,24003,1044648,716715,254242,144,102.069047619048
2014-04-01,2014,24015,1733493,1287833,30528,12,102.069047619048
2014-04-01,2014,24005,3672972,2670221,365147,88,102.069047619048
2014-04-01,2014,24510,3127158,2298894,332767,21,102.069047619048
2014-04-01,2014,24017,2033127,NA,41129,69,102.069047619048
2014-05-01,2014,24510,3268215,2350131,334532,21,102.177142857143
2014-05-01,2014,24003,1203806,787756,257538,135,102.177142857143
2014-05-01,2014,24017,309780,162637,41323,96,102.177142857143
2014-05-01,2014,24015,1827888,1332541,31020,11,102.177142857143
2014-05-01,2014,24031,2011965,NA,458335,135,102.177142857143
2014-05-01,2014,24005,3742482,2666418,367249,79,102.177142857143
2014-06-01,2014,24510,3221224,2296635,333526,21,105.794285714286
2014-06-01,2014,24017,317089,164463,41577,56,105.794285714286
2014-06-01,2014,24015,1760185,1254640,31234,12,105.794285714286
2014-06-01,2014,24031,1755443,NA,462926,132,105.794285714286
2014-06-01,2014,24005,3643388,2556119,368204,75,105.794285714286
2014-06-01,2014,24003,1241325,786824,259661,152,105.794285714286
2014-07-01,2014,24015,1862470,1311721,30824,13,103.588636363636
2014-07-01,2014,24017,342125,173540,40911,79,103.588636363636
2014-07-01,2014,24005,3739024,2599584,358407,63,103.588636363636
2014-07-01,2014,24510,3325528,2356615,328965,22,103.588636363636
2014-07-01,2014,24003,1332621,828136,258248,236,103.588636363636
2014-07-01,2014,24031,1684163,NA,448121,173,103.588636363636
2014-08-01,2014,24017,353604,178492,40944,113,96.5361904761905
2014-08-01,2014,24031,1533189,NA,459454,155,96.5361904761905
2014-08-01,2014,24510,3383287,2391504,329874,20,96.5361904761905
2014-08-01,2014,24003,1349529,837255,257208,312,96.5361904761905
2014-08-01,2014,24015,1944196,1375337,31034,20,96.5361904761905
2014-08-01,2014,24005,3797896,2645308,358895,32,96.5361904761905
2014-09-01,2014,24003,1103858,728158,256530,113,93.2119047619048
2014-09-01,2014,24031,1827355,NA,458377,129,93.2119047619048
2014-09-01,2014,24510,3182493,2328386,337627,19,93.2119047619048
2014-09-01,2014,24005,3351138,2427849,365263,70,93.2119047619048
2014-09-01,2014,24015,1552053,1155059,30910,8,93.2119047619048
2014-09-01,2014,24017,267481,148429,41334,48,93.2119047619048
2014-10-01,2014,24510,3293877,2433880,337456,20,84.3969565217391
2014-10-01,2014,24015,1624776,1223744,31062,10,84.3969565217391
2014-10-01,2014,24017,290214,160988,41723,40,84.3969565217391
2014-10-01,2014,24031,1975748,NA,458757,78,84.3969565217391
2014-10-01,2014,24003,1077037,741809,257983,144,84.3969565217391
2014-10-01,2014,24005,3577069,2624815,369550,109,84.3969565217391
2014-11-01,2014,24031,1843448,NA,461017,85,75.7894736842105
2014-11-01,2014,24510,2965054,2153344,337395,19,75.7894736842105
2014-11-01,2014,24017,269671,143063,42060,42,75.7894736842105
2014-11-01,2014,24015,1614381,1201930,31070,6,75.7894736842105
2014-11-01,2014,24003,974562,663324,258345,78,75.7894736842105
2014-11-01,2014,24005,3371106,2433848,372874,125,75.7894736842105
2014-12-01,2014,24031,1851956,NA,463276,89,59.2904545454545
2014-12-01,2014,24005,3490893,2523207,374369,47,59.2904545454545
2014-12-01,2014,24015,1631971,1211148,30689,13,59.2904545454545
2014-12-01,2014,24017,270237,148503,42368,62,59.2904545454545
2014-12-01,2014,24510,3084650,2257362,336096,17,59.2904545454545
2014-12-01,2014,24003,969416,667744,259315,107,59.2904545454545
2015-01-01,2015,24510,1990269,1453359,326552,18,47.219
2015-01-01,2015,24015,1357487,1036690,29469,4,47.219
2015-01-01,2015,24017,220544,128804,40255,45,47.219
2015-01-01,2015,24031,1779279,NA,453604,77,47.219
2015-01-01,2015,24005,3122592,2314282,360507,36,47.219
2015-01-01,2015,24003,840555,599822,252923,107,47.219
2015-02-01,2015,24031,1801689,NA,452913,76,50.5842105263158
2015-02-01,2015,24005,2926808,2174269,361779,47,50.5842105263158
2015-02-01,2015,24017,191056,113750,40942,80,50.5842105263158
2015-02-01,2015,24510,2588215,1913183,328321,18,50.5842105263158
2015-02-01,2015,24015,1249142,962147,29681,3,50.5842105263158
2015-02-01,2015,24003,752323,540840,253404,89,50.5842105263158
2015-03-01,2015,24017,244803,142416,41122,88,47.8236363636364
2015-03-01,2015,24015,1550323,1166523,29899,13,47.8236363636364
2015-03-01,2015,24031,1950398,NA,453834,143,47.8236363636364
2015-03-01,2015,24005,3461609,2529958,365434,79,47.8236363636364
2015-03-01,2015,24510,3049458,2223633,328948,22,47.8236363636364
2015-03-01,2015,24003,919834,649809,254273,155,47.8236363636364
2015-04-01,2015,24031,2284564,NA,460446,74,54.4528571428571
2015-04-01,2015,24005,3624857,2628087,370435,67,54.4528571428571
2015-04-01,2015,24017,281293,159111,41907,84,54.4528571428571
2015-04-01,2015,24003,1509978,1145248,257908,197,54.4528571428571
2015-04-01,2015,24015,1342485,924227,30815,6,54.4528571428571
2015-04-01,2015,24510,3425172,2501172,334253,24,54.4528571428571
2015-05-01,2015,24017,316182,166423,42433,87,59.265
2015-05-01,2015,24510,3510399,2499641,337071,22,59.265
2015-05-01,2015,24005,3698772,2612391,373156,84,59.265
2015-05-01,2015,24031,2044997,NA,463372,110,59.265
2015-05-01,2015,24015,1897722,1383530,31311,10,59.265
2015-05-01,2015,24003,1234079,800424,261043,247,59.265
2015-06-01,2015,24005,3647185,2580549,374633,85,59.8195454545455
2015-06-01,2015,24003,1248844,807414,263365,263,59.8195454545455
2015-06-01,2015,24510,3462964,2490908,335035,25,59.8195454545455
2015-06-01,2015,24031,1827460,NA,467730,116,59.8195454545455
2015-06-01,2015,24017,311122,167192,42571,72,59.8195454545455
2015-06-01,2015,24015,1792720,1296900,31641,9,59.8195454545455
2015-07-01,2015,24017,355392,184262,41940,105,50.9009090909091
2015-07-01,2015,24031,1814807,NA,455685,112,50.9009090909091
2015-07-01,2015,24510,3644510,2589225,330946,24,50.9009090909091
2015-07-01,2015,24015,1954486,1390494,30842,14,50.9009090909091
2015-07-01,2015,24005,3749357,2605409,366256,70,50.9009090909091
2015-07-01,2015,24003,1389029,873685,263845,157,50.9009090909091
2015-08-01,2015,24017,353609,181424,41873,70,42.867619047619
2015-08-01,2015,24005,3797829,2626724,365301,82,42.867619047619
2015-08-01,2015,24510,3383317,2602173,331253,23,42.867619047619
2015-08-01,2015,24015,1944155,1419467,31053,13,42.867619047619
2015-08-01,2015,24003,1349498,856040,262451,794,42.867619047619
2015-08-01,2015,24031,1976488,NA,449099,128,42.867619047619
2015-09-01,2015,24005,3410682,2469505,372140,52,45.4795238095238
2015-09-01,2015,24510,3363665,2450096,336386,22,45.4795238095238
2015-09-01,2015,24031,1945617,NA,461972,127,45.4795238095238
2015-09-01,2015,24003,1158104,772036,261959,107,45.4795238095238
2015-09-01,2015,24017,282494,159568,42188,57,45.4795238095238
2015-09-01,2015,24015,1634093,1218609,31075,11,45.4795238095238
2015-10-01,2015,24510,3431827,2526189,340655,22,46.2236363636364
2015-10-01,2015,24005,3634701,2660438,377256,36,46.2236363636364
2015-10-01,2015,24017,287371,164217,42940,108,46.2236363636364
2015-10-01,2015,24031,2016156,NA,464380,186,46.2236363636364
2015-10-01,2015,24003,1092104,758127,263493,124,46.2236363636364
2015-10-01,2015,24015,1685636,1283315,31007,9,46.2236363636364
2015-11-01,2015,24017,275531,153442,43468,54,42.4435
2015-11-01,2015,24031,2420471,NA,465886,82,42.4435
2015-11-01,2015,24003,1011576,701273,264487,101,42.4435
2015-11-01,2015,24510,3222390,2368650,340001,18,42.4435
2015-11-01,2015,24015,1685705,1275289,30864,10,42.4435
2015-11-01,2015,24005,3519507,2560625,379682,32,42.4435
2015-12-01,2015,24003,1020372,713591,265628,119,37.1886363636364
2015-12-01,2015,24510,3273633,2413666,339355,20,37.1886363636364
2015-12-01,2015,24017,282219,159170,43785,68,37.1886363636364
2015-12-01,2015,24005,3655452,2652519,381459,72,37.1886363636364
2015-12-01,2015,24015,1661623,1280533,30649,9,37.1886363636364
2015-12-01,2015,24031,2377865,NA,467083,132,37.1886363636364
2016-01-01,2016,24510,3273633,2094485,334462,19,31.6831578947368
2016-01-01,2016,24031,2377865,NA,457526,83,31.6831578947368
2016-01-01,2016,24005,3655452,2247437,364432,30,31.6831578947368
2016-01-01,2016,24015,1706623,1040802,30220,1,31.6831578947368
2016-01-01,2016,24003,1020372,589551,259545,159,31.6831578947368
2016-01-01,2016,24017,282219,125563,41813,80,31.6831578947368
2016-02-01,2016,24005,5370032,3960764,365726,52,30.323
2016-02-01,2016,24003,852210,616150,259693,88,30.323
2016-02-01,2016,24031,2166141,NA,456844,78,30.323
2016-02-01,2016,24510,844543,667791,334254,21,30.323
2016-02-01,2016,24017,216380,132207,42054,39,30.323
2016-02-01,2016,24015,1382902,1074597,30504,6,30.323
2016-03-01,2016,24003,1040913,739359,261327,189,37.5463636363636
2016-03-01,2016,24031,2406785,NA,460584,140,37.5463636363636
2016-03-01,2016,24005,3776529,2769020,371817,57,37.5463636363636
2016-03-01,2016,24017,275973,163370,42749,63,37.5463636363636
2016-03-01,2016,24510,3449817,2572658,333785,25,37.5463636363636
2016-03-01,2016,24015,1728351,1319957,31051,4,37.5463636363636
2016-04-01,2016,24017,272205,158076,43368,84,40.7552380952381
2016-04-01,2016,24031,2497769,NA,465691,156,40.7552380952381
2016-04-01,2016,24015,1744860,1329544,31785,7,40.7552380952381
2016-04-01,2016,24003,1062803,746914,265243,153,40.7552380952381
2016-04-01,2016,24005,3739531,2762539,374851,54,40.7552380952381
2016-04-01,2016,24510,3345731,2461422,337748,21,40.7552380952381
