"coverage","age","wage","cit","mar","educ","race"
"No Coverage",60,3500,"Citizen","Never Married","HS Degree","Black"
"No Coverage",52,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",39,15500,"Non-citizen","Married","Less than HS","White"
"No Coverage",39,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",41,20000,"Citizen","Never Married","HS Degree","White"
"No Coverage",21,4400,"Citizen","Never Married","Less than HS","Black"
"No Coverage",58,14000,"Citizen","Widowed","HS Degree","White"
"No Coverage",39,0,"Citizen","Separated","HS Degree","White"
"No Coverage",19,0,"Citizen","Separated","Less than HS","White"
"No Coverage",17,4000,"Citizen","Separated","Less than HS","White"
"No Coverage",52,0,"Citizen","Married","HS Degree","White"
"No Coverage",31,25000,"Citizen","Never Married","HS Degree","White"
"No Coverage",42,32000,"Citizen","Never Married","Graduate Degree","Black"
"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",23,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",22,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",57,3000,"Citizen","Married","HS Degree","White"
"No Coverage",55,0,"Citizen","Married","HS Degree","White"
"No Coverage",57,37000,"Citizen","Married","Undergraduate Degree","White"
"No Coverage",30,0,"Non-citizen","Never Married","HS Degree","White"
"No Coverage",26,0,"Non-citizen","Never Married","HS Degree","White"
"No Coverage",25,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",49,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",56,0,"Non-citizen","Married","HS Degree","White"
"No Coverage",20,2000,"Citizen","Never Married","HS Degree","White"
"No Coverage",33,25000,"Citizen","Never Married","HS Degree","White"
"No Coverage",55,10000,"Citizen","Divorced","HS Degree","White"
"No Coverage",47,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",22,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",58,13000,"Citizen","Divorced","Less than HS","White"
"No Coverage",38,2800,"Citizen","Separated","Less than HS","White"
"No Coverage",28,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",50,0,"Citizen","Divorced","HS Degree","Black"
"No Coverage",60,7300,"Citizen","Widowed","Less than HS","White"
"No Coverage",48,9000,"Citizen","Divorced","Undergraduate Degree","White"
"No Coverage",19,600,"Citizen","Never Married","HS Degree","Black"
"No Coverage",54,18700,"Non-citizen","Married","HS Degree","Asian"
"No Coverage",51,18000,"Non-citizen","Married","HS Degree","Asian"
"No Coverage",43,10000,"Non-citizen","Married","Less than HS","Two or More"
"No Coverage",38,10000,"Non-citizen","Married","Less than HS","Two or More"
"No Coverage",16,0,"Non-citizen","Never Married","Less than HS","Two or More"
"No Coverage",34,3000,"Citizen","Never Married","HS Degree","White"
"No Coverage",36,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",31,27000,"Citizen","Separated","HS Degree","White"
"No Coverage",24,0,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",37,0,"Non-citizen","Married","HS Degree","White"
"No Coverage",61,0,"Citizen","Married","HS Degree","White"
"No Coverage",57,0,"Citizen","Married","Less than HS","White"
"No Coverage",41,0,"Citizen","Married","HS Degree","White"
"No Coverage",40,0,"Citizen","Married","HS Degree","White"
"No Coverage",59,18000,"Non-citizen","Married","Less than HS","White"
"No Coverage",50,4200,"Citizen","Married","Less than HS","Black"
"No Coverage",28,3600,"Citizen","Never Married","Less than HS","Black"
"No Coverage",26,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",62,28800,"Citizen","Married","HS Degree","White"
"No Coverage",40,40000,"Citizen","Divorced","HS Degree","White"
"No Coverage",42,0,"Citizen","Married","HS Degree","White"
"No Coverage",36,65000,"Citizen","Separated","HS Degree","White"
"No Coverage",41,0,"Non-citizen","Married","Less than HS","Other"
"No Coverage",43,21000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",53,1000,"Citizen","Never Married","Less than HS","Black"
"No Coverage",40,20000,"Non-citizen","Never Married","HS Degree","White"
"No Coverage",37,0,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",52,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",62,19000,"Citizen","Divorced","Less than HS","White"
"No Coverage",36,70000,"Citizen","Married","HS Degree","White"
"No Coverage",31,5000,"Citizen","Married","HS Degree","White"
"No Coverage",36,4500,"Citizen","Never Married","HS Degree","White"
"No Coverage",63,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",62,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",60,0,"Citizen","Separated","Less than HS","Black"
"No Coverage",36,40000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",36,9500,"Non-citizen","Married","HS Degree","Other"
"No Coverage",30,30000,"Non-citizen","Never Married","HS Degree","Other"
"No Coverage",39,26400,"Non-citizen","Never Married","Less than HS","Other"
"No Coverage",53,16000,"Citizen","Divorced","HS Degree","White"
"No Coverage",38,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",31,10000,"Citizen","Married","HS Degree","White"
"No Coverage",64,67000,"Citizen","Divorced","Less than HS","Black"
"No Coverage",49,16000,"Citizen","Divorced","HS Degree","White"
"No Coverage",62,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",34,0,"Citizen","Married","Undergraduate Degree","White"
"No Coverage",36,55000,"Citizen","Divorced","Undergraduate Degree","White"
"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",30,41000,"Citizen","Married","HS Degree","White"
"No Coverage",36,0,"Citizen","Married","HS Degree","White"
"No Coverage",32,10000,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",30,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",28,21000,"Non-citizen","Never Married","Less than HS","Other"
"No Coverage",32,21000,"Non-citizen","Never Married","HS Degree","Other"
"No Coverage",27,9400,"Citizen","Never Married","HS Degree","White"
"No Coverage",57,0,"Citizen","Married","Less than HS","White"
"No Coverage",21,1400,"Citizen","Never Married","HS Degree","White"
"No Coverage",25,25000,"Citizen","Never Married","HS Degree","White"
"No Coverage",62,0,"Citizen","Never Married","HS Degree","Two or More"
"No Coverage",19,15000,"Citizen","Never Married","HS Degree","White"
"No Coverage",29,0,"Citizen","Married","HS Degree","Two or More"
"No Coverage",61,10000,"Citizen","Divorced","Graduate Degree","Black"
"No Coverage",51,20000,"Citizen","Married","Less than HS","White"
"No Coverage",50,0,"Citizen","Married","Less than HS","White"
"No Coverage",57,12300,"Citizen","Married","HS Degree","Black"
"No Coverage",32,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",49,43200,"Citizen","Married","HS Degree","White"
"No Coverage",20,10000,"Citizen","Never Married","HS Degree","Two or More"
"No Coverage",23,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",40,18000,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",23,0,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",36,0,"Citizen","Divorced","Less than HS","White"
"No Coverage",36,22000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",45,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",36,0,"Non-citizen","Never Married","Less than HS","Other"
"No Coverage",37,30000,"Non-citizen","Never Married","Less than HS","Other"
"No Coverage",38,0,"Citizen","Married","HS Degree","White"
"No Coverage",25,11300,"Citizen","Married","Less than HS","White"
"No Coverage",22,20200,"Non-citizen","Married","HS Degree","White"
"No Coverage",45,4000,"Citizen","Married","HS Degree","Black"
"No Coverage",33,0,"Citizen","Married","HS Degree","Black"
"No Coverage",20,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",26,30000,"Citizen","Divorced","HS Degree","White"
"No Coverage",35,2000,"Citizen","Never Married","Less than HS","White"
"No Coverage",32,5000,"Citizen","Never Married","HS Degree","White"
"No Coverage",46,27000,"Citizen","Married","Less than HS","Black"
"No Coverage",47,10000,"Citizen","Married","HS Degree","Black"
"No Coverage",57,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",16,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",20,23000,"Citizen","Separated","HS Degree","White"
"No Coverage",31,27000,"Citizen","Divorced","Undergraduate Degree","Black"
"No Coverage",38,30000,"Non-citizen","Married","Less than HS","White"
"No Coverage",35,36000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",63,0,"Citizen","Married","HS Degree","Black"
"No Coverage",33,0,"Citizen","Married","HS Degree","Black"
"No Coverage",35,15600,"Citizen","Married","HS Degree","Black"
"No Coverage",19,8000,"Citizen","Never Married","HS Degree","White"
"No Coverage",54,0,"Citizen","Married","HS Degree","White"
"No Coverage",56,0,"Citizen","Married","Less than HS","White"
"No Coverage",43,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",24,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",49,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",30,0,"Non-citizen","Married","HS Degree","White"
"No Coverage",40,40000,"Citizen","Divorced","HS Degree","White"
"No Coverage",36,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",25,18000,"Citizen","Never Married","HS Degree","White"
"No Coverage",27,2000,"Citizen","Never Married","HS Degree","White"
"No Coverage",22,1200,"Citizen","Never Married","Less than HS","Black"
"No Coverage",37,50000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",18,3000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",50,80000,"Citizen","Married","Undergraduate Degree","White"
"No Coverage",26,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",37,0,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",40,38000,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",37,20000,"Non-citizen","Married","HS Degree","White"
"No Coverage",25,0,"Non-citizen","Married","HS Degree","White"
"No Coverage",29,300,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",32,15000,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",35,32000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",23,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",21,2400,"Citizen","Never Married","HS Degree","Black"
"No Coverage",21,4400,"Citizen","Never Married","HS Degree","White"
"No Coverage",38,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",38,9000,"Citizen","Divorced","HS Degree","White"
"No Coverage",21,10000,"Citizen","Never Married","HS Degree","White"
"No Coverage",51,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",58,0,"Citizen","Married","HS Degree","White"
"No Coverage",53,28000,"Citizen","Never Married","Less than HS","Black"
"No Coverage",46,30000,"Citizen","Married","HS Degree","White"
"No Coverage",46,3500,"Citizen","Married","HS Degree","White"
"No Coverage",23,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",28,33000,"Citizen","Married","Graduate Degree","Black"
"No Coverage",58,0,"Citizen","Married","HS Degree","White"
"No Coverage",19,2500,"Citizen","Never Married","HS Degree","Black"
"No Coverage",22,16000,"Citizen","Never Married","Less than HS","Black"
"No Coverage",42,0,"Non-citizen","Separated","Less than HS","White"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",16,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",35,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",29,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",23,10000,"Citizen","Never Married","HS Degree","White"
"No Coverage",20,12000,"Citizen","Never Married","HS Degree","White"
"No Coverage",51,0,"Citizen","Never Married","HS Degree","Other"
"No Coverage",63,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",21,14000,"Citizen","Never Married","HS Degree","White"
"No Coverage",28,0,"Citizen","Never Married","Less than HS","Other"
"No Coverage",44,39000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",18,500,"Citizen","Never Married","HS Degree","Black"
"No Coverage",34,1400,"Citizen","Never Married","HS Degree","White"
"No Coverage",24,4000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",34,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",48,0,"Citizen","Separated","Less than HS","Black"
"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",28,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",30,15000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",28,0,"Non-citizen","Married","Less than HS","Other"
"No Coverage",39,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",18,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",49,7800,"Citizen","Separated","HS Degree","White"
"No Coverage",54,25000,"Citizen","Married","HS Degree","White"
"No Coverage",53,22000,"Non-citizen","Married","Less than HS","White"
"No Coverage",19,24000,"Citizen","Never Married","HS Degree","White"
"No Coverage",37,36000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",54,1200,"Citizen","Married","HS Degree","Black"
"No Coverage",47,0,"Citizen","Married","HS Degree","Black"
"No Coverage",21,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",43,43000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",49,0,"Citizen","Separated","Less than HS","Black"
"No Coverage",46,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",23,12000,"Citizen","Never Married","HS Degree","White"
"No Coverage",62,38000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",36,16700,"Non-citizen","Married","Less than HS","White"
"No Coverage",39,22000,"Non-citizen","Married","Less than HS","White"
"No Coverage",59,0,"Citizen","Married","HS Degree","Asian"
"No Coverage",57,0,"Non-citizen","Married","HS Degree","Asian"
"No Coverage",60,0,"Citizen","Divorced","Less than HS","Black"
"No Coverage",50,0,"Citizen","Divorced","Less than HS","White"
"No Coverage",19,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",30,30000,"Citizen","Never Married","HS Degree","White"
"No Coverage",53,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",28,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",46,19500,"Non-citizen","Never Married","HS Degree","Black"
"No Coverage",59,0,"Citizen","Married","HS Degree","White"
"No Coverage",45,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",31,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",62,0,"Citizen","Widowed","Undergraduate Degree","White"
"No Coverage",23,4400,"Citizen","Never Married","Less than HS","Black"
"No Coverage",45,28000,"Citizen","Married","HS Degree","White"
"No Coverage",34,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",23,24000,"Citizen","Married","HS Degree","White"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",25,5000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",23,210,"Citizen","Never Married","HS Degree","Black"
"No Coverage",39,20000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",32,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",35,4200,"Citizen","Divorced","HS Degree","White"
"No Coverage",34,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",28,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",52,13700,"Citizen","Divorced","HS Degree","White"
"No Coverage",64,0,"Citizen","Married","HS Degree","White"
"No Coverage",26,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",51,0,"Non-citizen","Married","Undergraduate Degree","Asian"
"No Coverage",21,28000,"Citizen","Never Married","HS Degree","Asian"
"No Coverage",26,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",62,80000,"Citizen","Divorced","HS Degree","White"
"No Coverage",55,0,"Citizen","Widowed","Less than HS","White"
"No Coverage",49,20000,"Citizen","Never Married","Less than HS","White"
"No Coverage",63,0,"Citizen","Married","HS Degree","Black"
"No Coverage",61,0,"Citizen","Married","HS Degree","Black"
"No Coverage",33,0,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",24,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",37,7000,"Citizen","Divorced","HS Degree","White"
"No Coverage",26,12000,"Citizen","Never Married","HS Degree","Other"
"No Coverage",43,0,"Citizen","Married","Less than HS","Black"
"No Coverage",46,0,"Non-citizen","Married","Less than HS","Other"
"No Coverage",37,14500,"Non-citizen","Married","Less than HS","Other"
"No Coverage",20,21900,"Non-citizen","Never Married","HS Degree","Other"
"No Coverage",46,0,"Citizen","Married","HS Degree","Black"
"No Coverage",47,0,"Citizen","Married","Undergraduate Degree","Black"
"No Coverage",57,27000,"Citizen","Divorced","HS Degree","White"
"No Coverage",22,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",22,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",25,3400,"Citizen","Never Married","HS Degree","Black"
"No Coverage",23,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",63,1800,"Citizen","Divorced","HS Degree","White"
"No Coverage",57,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",41,18000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",19,300,"Citizen","Never Married","HS Degree","Black"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","Asian"
"No Coverage",19,13000,"Citizen","Married","HS Degree","White"
"No Coverage",60,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",26,4600,"Citizen","Never Married","HS Degree","Black"
"No Coverage",55,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",50,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",29,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",18,0,"Non-citizen","Never Married","HS Degree","Asian"
"No Coverage",24,0,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",22,5900,"Citizen","Never Married","HS Degree","Black"
"No Coverage",19,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",18,2000,"Citizen","Never Married","Less than HS","Other"
"No Coverage",85,0,"Citizen","Widowed","Less than HS","White"
"No Coverage",32,28000,"Citizen","Divorced","HS Degree","White"
"No Coverage",47,24000,"Citizen","Married","HS Degree","White"
"No Coverage",43,17000,"Citizen","Married","Less than HS","White"
"No Coverage",47,330,"Citizen","Married","HS Degree","Black"
"No Coverage",19,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",50,0,"Citizen","Never Married","Undergraduate Degree","Asian"
"No Coverage",57,42000,"Citizen","Divorced","Graduate Degree","Black"
"No Coverage",36,41000,"Citizen","Married","HS Degree","White"
"No Coverage",35,0,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",38,5000,"Citizen","Married","Graduate Degree","White"
"No Coverage",45,0,"Non-citizen","Married","HS Degree","Two or More"
"No Coverage",43,60000,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",41,0,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",28,2200,"Citizen","Never Married","HS Degree","White"
"No Coverage",49,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",50,2000,"Citizen","Married","HS Degree","White"
"No Coverage",38,12000,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",36,8000,"Citizen","Married","Less than HS","White"
"No Coverage",39,25000,"Citizen","Married","Less than HS","White"
"No Coverage",54,0,"Citizen","Never Married","Graduate Degree","Two or More"
"No Coverage",30,6000,"Citizen","Never Married","HS Degree","White"
"No Coverage",42,0,"Citizen","Married","Less than HS","White"
"No Coverage",45,30000,"Citizen","Married","HS Degree","White"
"No Coverage",33,0,"Citizen","Divorced","Less than HS","White"
"No Coverage",47,40000,"Citizen","Divorced","HS Degree","White"
"No Coverage",21,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",58,17000,"Citizen","Never Married","HS Degree","White"
"No Coverage",35,34000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",55,9000,"Citizen","Married","HS Degree","White"
"No Coverage",27,10000,"Citizen","Married","HS Degree","Black"
"No Coverage",24,80000,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",45,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",28,33000,"Citizen","Never Married","HS Degree","White"
"No Coverage",27,0,"Non-citizen","Married","Less than HS","White"
"No Coverage",29,0,"Non-citizen","Married","HS Degree","White"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",57,0,"Non-citizen","Divorced","Less than HS","White"
"No Coverage",55,15100,"Citizen","Divorced","Less than HS","White"
"No Coverage",56,7000,"Citizen","Divorced","Less than HS","Black"
"No Coverage",20,2700,"Citizen","Never Married","HS Degree","Black"
"No Coverage",17,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",44,12000,"Citizen","Never Married","Undergraduate Degree","Black"
"No Coverage",61,0,"Citizen","Married","Less than HS","White"
"No Coverage",20,0,"Citizen","Never Married","Less than HS","White"
"No Coverage",27,0,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",57,0,"Citizen","Divorced","Undergraduate Degree","Black"
"No Coverage",22,1000,"Non-citizen","Married","Less than HS","Other"
"No Coverage",33,26000,"Non-citizen","Married","Undergraduate Degree","White"
"No Coverage",57,24000,"Citizen","Married","Less than HS","White"
"No Coverage",28,0,"Citizen","Married","Less than HS","White"
"No Coverage",27,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",21,13000,"Citizen","Never Married","Less than HS","Black"
"No Coverage",63,0,"Citizen","Married","Less than HS","White"
"No Coverage",62,0,"Citizen","Married","Less than HS","White"
"No Coverage",40,0,"Citizen","Never Married","Undergraduate Degree","White"
"No Coverage",62,0,"Citizen","Separated","HS Degree","Black"
"No Coverage",42,10000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",30,0,"Citizen","Married","HS Degree","White"
"No Coverage",38,24000,"Non-citizen","Married","HS Degree","Tribes Spec."
"No Coverage",39,0,"Citizen","Separated","Less than HS","White"
"No Coverage",40,35000,"Citizen","Never Married","HS Degree","White"
"No Coverage",29,16500,"Citizen","Married","HS Degree","White"
"No Coverage",28,7800,"Citizen","Married","Less than HS","White"
"No Coverage",22,0,"Non-citizen","Never Married","HS Degree","White"
"No Coverage",49,30000,"Citizen","Separated","Less than HS","White"
"No Coverage",41,22000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",19,600,"Citizen","Never Married","HS Degree","Black"
"No Coverage",32,0,"Non-citizen","Never Married","Less than HS","White"
"No Coverage",38,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",51,0,"Citizen","Divorced","HS Degree","White"
"No Coverage",48,0,"Citizen","Separated","HS Degree","Black"
"No Coverage",26,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",33,20000,"Citizen","Divorced","HS Degree","White"
"No Coverage",40,2400,"Citizen","Never Married","Less than HS","White"
"No Coverage",23,5000,"Citizen","Never Married","HS Degree","Black"
"No Coverage",45,500,"Citizen","Never Married","HS Degree","Black"
"No Coverage",20,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",19,9600,"Citizen","Never Married","HS Degree","Black"
"No Coverage",20,15000,"Citizen","Never Married","HS Degree","White"
"No Coverage",53,31000,"Citizen","Married","HS Degree","White"
"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black"
"No Coverage",40,50000,"Citizen","Married","Graduate Degree","Black"
"No Coverage",59,0,"Citizen","Married","HS Degree","White"
"No Coverage",35,39000,"Citizen","Married","HS Degree","White"
"No Coverage",64,36000,"Citizen","Never Married","HS Degree","White"
"No Coverage",53,28300,"Citizen","Married","HS Degree","Asian"
"No Coverage",33,24000,"Non-citizen","Married","HS Degree","Asian"
"No Coverage",29,60000,"Citizen","Never Married","HS Degree","Asian"
"No Coverage",26,0,"Non-citizen","Widowed","HS Degree","Asian"
"No Coverage",44,2000,"Citizen","Divorced","HS Degree","Black"
"No Coverage",20,0,"Citizen","Never Married","Less than HS","Black"
"No Coverage",41,10000,"Citizen","Married","HS Degree","White"
"No Coverage",38,0,"Citizen","Married","Less than HS","White"
"No Coverage",43,0,"Citizen","Never Married","HS Degree","White"
"No Coverage",23,17700,"Citizen","Never Married","HS Degree","White"
"No Coverage",44,0,"Citizen","Married","Undergraduate Degree","Black"
"No Coverage",40,8000,"Non-citizen","Never Married","Less than HS","Other"
"No Coverage",35,27000,"Citizen","Married","HS Degree","Black"
"No Coverage",38,1900,"Citizen","Married","Less than HS","Black"
